Generating one batch to determine activation dimension...
Activation dimension: 4096
Training SAE:  33%|█████████████████▎                                   | 6547456/20000000 [04:07<04:28, 50117.78it/s]
Step 100, Loss: 1.0000
Step 200, Loss: 1.0234
Step 300, Loss: 1.0312
Step 400, Loss: 1.0234
Step 500, Loss: 1.0078
Step 600, Loss: 1.0234
Step 700, Loss: 1.0312
Step 800, Loss: 1.0078
Step 900, Loss: 1.0078
Step 1000, Loss: 1.0078
Step 1100, Loss: 1.0078
Step 1200, Loss: 1.0156
Step 1300, Loss: 1.0078
Step 1400, Loss: 1.0234
Step 1500, Loss: 1.0078
Step 1600, Loss: 1.0156
Step 1700, Loss: 1.0078
Step 1800, Loss: 1.0000
Step 1900, Loss: 1.0078
Step 2000, Loss: 1.0156
Step 2100, Loss: 1.0156
Step 2200, Loss: 1.0078
Step 2300, Loss: 1.0156
Step 2400, Loss: 1.0000
Step 2500, Loss: 0.9883
Step 2600, Loss: 1.0000
Step 2700, Loss: 1.0078
Step 2800, Loss: 1.0078
Step 2900, Loss: 1.0000
Step 3000, Loss: 1.0156
Step 3100, Loss: 0.9844
Step 3200, Loss: 1.0078
Step 3300, Loss: 1.0078
Step 3400, Loss: 1.0000
Step 3500, Loss: 0.9805
Step 3600, Loss: 1.0000
Step 3700, Loss: 0.9844
Step 3800, Loss: 1.0000
Step 3900, Loss: 1.0000
Step 4000, Loss: 1.0078
Step 4100, Loss: 0.9922
Step 4200, Loss: 0.9922
Step 4300, Loss: 1.0078
Step 4400, Loss: 0.9922
Step 4500, Loss: 0.9883
Step 4600, Loss: 0.9844
Step 4700, Loss: 1.0156
Step 4800, Loss: 1.0078
Step 4900, Loss: 1.0000
Step 5000, Loss: 1.0078
Step 5100, Loss: 0.9766
Step 5200, Loss: 0.9922
Step 5300, Loss: 1.0000
Step 5400, Loss: 0.9961
Step 5500, Loss: 1.0000
Step 5600, Loss: 0.9961
Step 5700, Loss: 0.9922
Step 5800, Loss: 1.0000
Step 5900, Loss: 1.0000
Step 6000, Loss: 0.9883
Step 6100, Loss: 0.9922
Step 6200, Loss: 1.0000
Step 6300, Loss: 0.9961
Step 6400, Loss: 1.0000
Step 6500, Loss: 1.0000
Step 6600, Loss: 0.9805
Step 6700, Loss: 1.0078
Step 6800, Loss: 0.9922
Step 6900, Loss: 0.9961
Step 7000, Loss: 0.9766
Step 7100, Loss: 1.0000
Step 7200, Loss: 0.9883
Step 7300, Loss: 1.0000
Step 7400, Loss: 0.9961
Step 7500, Loss: 0.9922
Step 7600, Loss: 0.9922
Step 7700, Loss: 0.9961
Step 7800, Loss: 0.9922
Step 7900, Loss: 0.9961
Step 8000, Loss: 0.9805
Step 8100, Loss: 0.9961
Step 8200, Loss: 0.9922
Step 8300, Loss: 0.9922
Step 8400, Loss: 0.9922
Step 8500, Loss: 0.9922
Step 8600, Loss: 0.9961
Step 8700, Loss: 0.9961
Step 8800, Loss: 0.9922
Step 8900, Loss: 0.9883
Step 9000, Loss: 0.9922
Step 9100, Loss: 0.9922
Step 9200, Loss: 0.9961
Step 9300, Loss: 0.9883
Step 9400, Loss: 0.9922
Step 9500, Loss: 0.9883
Step 9600, Loss: 0.9922
Step 9700, Loss: 0.9883
Final model saved to sae_on_grad/checkpoints_roneneldan_TinyStories-1M_transformer.h.0.attn.attention.v_proj.weight/sae_final.pt
sae.pt:  95%|██████████████████████████████████████████████████████████████████▏   | 127M/134M [00:02<00:00, 72.4MB/s]
Model uploaded to https://huggingface.co/jacobcd52/roneneldan_TinyStories-1M_transformer.h.0.attn.attention.v_proj.weight_sae_k16
